id,URL,ns1:title,ns1:description,ns1:keywords,ns1:pres_category,ns1:agency,BOS Agency number,ns1:fog ,ns1:published,ns1:versions,ns1:licensing,ns1:type,ns1:inclusion,ns1:identifier,ns1:audience,ns1:coverage,ns1:language,ns1:publisher,BOS Publishing agency number,ns1:availability,ns1:mandate,ns1:owner,ns1:source,ns1:contributor,BOS contributing agency number,ns1:referenceslnsw,ns1:referencenswrecords,ns1:referencenla,ns1:containdata,ns1:current,ns1:featured,ns1:rights,ns1:filesize,ns1:rawfilesize,ns1:mimetype,ns1:pages,ns1:swfurl,ns1:processstate,ns1:workflowstate,ns1:previewurl,ns1:txturl,ns1:thumbnailurl,uid1,uid2,uid3,uid4,uid5,uid6,uid7,uid8,uid9,uid10,uid11,uid12,uid13,uid14,uid15,uid16,uid17,uid18,uid19,uid20,uid21,uid22,uid23,uid24,uid25,uid26,uid27,uid28,uid29
912,http://publications.nsw.gov.au/pub/93a/3b6/93a3b6234bc183fb779d4a591564b9b4dad4b320/document.pdf,New South Wales Optometrists Registration Board Annual Report for the year ended 30 June 2009,,,,,56,Health,16/10/2009,,Attribution Creative Commons (cc by),Annual Report,31/12/2009,,Australians,New South Wales,English,,,,,,,,,,,,,,,©State of New South Wales,1M,1453605,application/pdf,41,http://publications.nsw.gov.au/pub/93a/3b6/93a3b6234bc183fb779d4a591564b9b4dad4b320/publication.swf,browseable,published,http://publications.nsw.gov.au/pub/93a/3b6/93a3b6234bc183fb779d4a591564b9b4dad4b320/preview.jpg,http://publications.nsw.gov.au/pub/93a/3b6/93a3b6234bc183fb779d4a591564b9b4dad4b320/publication.txt,http://publications.nsw.gov.au/pub/93a/3b6/93a3b6234bc183fb779d4a591564b9b4dad4b320/thumbnail.gif,93a3b6234bc183fb779d4a591564b9b4dad4b320,,,,,,,,,,,,,,,,,,,,,,,,,,,,
913,http://publications.nsw.gov.au/pub/099/35a/09935aadb2b726d06d770022efeb061abae8f8e5/document.pdf,New South Wales Osteopaths Registration Board Annual Report for the year ended 30 June 2009,,,,New South Wales Osteopaths Registration Board,,Health,14/10/2009,,Attribution Creative Commons (cc by),Annual Report,31/12/2009,,Australians,New South Wales,English,,,,,,,,,,,,,,,©State of New South Wales,732K,750499,application/pdf,47,http://publications.nsw.gov.au/pub/099/35a/09935aadb2b726d06d770022efeb061abae8f8e5/publication.swf,browseable,published,,http://publications.nsw.gov.au/pub/099/35a/09935aadb2b726d06d770022efeb061abae8f8e5/publication.txt,http://publications.nsw.gov.au/pub/099/35a/09935aadb2b726d06d770022efeb061abae8f8e5/thumbnail.gif,09935aadb2b726d06d770022efeb061abae8f8e5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057,http://publications.nsw.gov.au/pub/d8c/e46/d8ce46091e252cd303be3f9b488e79f77a5fb840/document.pdf,New South Wales Public Works Department Annual Report 1978-79,,,,,3082,,1980,,Attribution Creative Commons (cc by),Annual Report,30/06/2009,,Australians,New South Wales,English,,1154,,,,,,,,,,,,,©State of New South Wales,37M,39187137,application/pdf,107,,previewable,published,http://publications.nsw.gov.au/pub/d8c/e46/d8ce46091e252cd303be3f9b488e79f77a5fb840/preview.jpg,http://publications.nsw.gov.au/pub/d8c/e46/d8ce46091e252cd303be3f9b488e79f77a5fb840/publication.txt,http://publications.nsw.gov.au/pub/d8c/e46/d8ce46091e252cd303be3f9b488e79f77a5fb840/thumbnail.gif,d8ce46091e252cd303be3f9b488e79f77a5fb840,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1042,http://publications.nsw.gov.au/pub/47e/2b6/47e2b6083997487dafd349753e2abedcef4cdc0d/document.pdf,New South Wales Public Works Department Public Works Annual Report 1981-82,,,,,3082,,1982,,Attribution Creative Commons (cc by),Annual Report,30/06/2009,,Australians,New South Wales,English,,,,,,,,,,,,,,,©State of New South Wales,44M,46468902,application/pdf,135,,previewable,published,http://publications.nsw.gov.au/pub/47e/2b6/47e2b6083997487dafd349753e2abedcef4cdc0d/preview.jpg,http://publications.nsw.gov.au/pub/47e/2b6/47e2b6083997487dafd349753e2abedcef4cdc0d/publication.txt,http://publications.nsw.gov.au/pub/47e/2b6/47e2b6083997487dafd349753e2abedcef4cdc0d/thumbnail.gif,47e2b6083997487dafd349753e2abedcef4cdc0d,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1164,http://publications.nsw.gov.au/pub/a7c/411/a7c41146172659218f7d76fd79a9fdac68785fe9/document.pdf,New South Wales State Emergency Management Committee Annual Report 2008-09,,,,State Emergency Management Committee,,,2009,,Attribution Creative Commons (cc by),Annual Report,30/06/2009,,Australians,New South Wales,English,,,,,,,,,,,,,,,©State of New South Wales,4M,4715156,application/pdf,123,http://publications.nsw.gov.au/pub/a7c/411/a7c41146172659218f7d76fd79a9fdac68785fe9/publication.swf,browseable,published,http://publications.nsw.gov.au/pub/a7c/411/a7c41146172659218f7d76fd79a9fdac68785fe9/preview.jpg,http://publications.nsw.gov.au/pub/a7c/411/a7c41146172659218f7d76fd79a9fdac68785fe9/publication.txt,http://publications.nsw.gov.au/pub/a7c/411/a7c41146172659218f7d76fd79a9fdac68785fe9/thumbnail.gif,a7c41146172659218f7d76fd79a9fdac68785fe9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1473,http://publications.nsw.gov.au/pub/dea/b2f/deab2f200b2c15310d58bbd1479d7ee20c0c75e7/document.pdf,New South Wales Treasury Crown Annual Report 2008-09,,,,,49,,20/10/2009,,Attribution Creative Commons (cc by),Annual Report,30/06/2009,,Australians,New South Wales,English,,,,,,,,,,,,,,,©State of New South Wales,2M,2555626,application/pdf,273,http://publications.nsw.gov.au/pub/dea/b2f/deab2f200b2c15310d58bbd1479d7ee20c0c75e7/publication.swf,browseable,published,http://publications.nsw.gov.au/pub/dea/b2f/deab2f200b2c15310d58bbd1479d7ee20c0c75e7/preview.jpg,http://publications.nsw.gov.au/pub/dea/b2f/deab2f200b2c15310d58bbd1479d7ee20c0c75e7/publication.txt,http://publications.nsw.gov.au/pub/dea/b2f/deab2f200b2c15310d58bbd1479d7ee20c0c75e7/thumbnail.gif,deab2f200b2c15310d58bbd1479d7ee20c0c75e7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
729,http://publications.nsw.gov.au/pub/e89/92f/e8992f34b25f55ae1cecd8a0ecfe443ba36aaf5c/document.pdf,New South Wales Treasury Crown Entity Annual Report 2006-07,,,,,49,Finance,25/10/2007,,Attribution Creative Commons (cc by),Annual Report,29/08/2008,,Australians,New South Wales,English,,,,,,,,,,,,,,,©State of New South Wales,6M,6611721,application/pdf,275,,previewable,published,http://publications.nsw.gov.au/pub/e89/92f/e8992f34b25f55ae1cecd8a0ecfe443ba36aaf5c/preview.jpg,http://publications.nsw.gov.au/pub/e89/92f/e8992f34b25f55ae1cecd8a0ecfe443ba36aaf5c/publication.txt,http://publications.nsw.gov.au/pub/e89/92f/e8992f34b25f55ae1cecd8a0ecfe443ba36aaf5c/thumbnail.gif,e8992f34b25f55ae1cecd8a0ecfe443ba36aaf5c,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702,http://publications.nsw.gov.au/pub/823/8cd/8238cd6edd354ac1d14ffcaa0bdb00c27235211c/document.pdf,New South Wales Treasury Office of Financial Management Annual Report 2006-07,,,,,1833,Finance,31/10/2007,,Attribution Creative Commons (cc by),Annual Report,29/08/2008,,Australians,New South Wales,English,,,,,,,,,,,,,,,©State of New South Wales,1M,1240580,application/pdf,109,http://publications.nsw.gov.au/pub/823/8cd/8238cd6edd354ac1d14ffcaa0bdb00c27235211c/publication.swf,browseable,published,,http://publications.nsw.gov.au/pub/823/8cd/8238cd6edd354ac1d14ffcaa0bdb00c27235211c/publication.txt,http://publications.nsw.gov.au/pub/823/8cd/8238cd6edd354ac1d14ffcaa0bdb00c27235211c/thumbnail.gif,8238cd6edd354ac1d14ffcaa0bdb00c27235211c,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722,http://publications.nsw.gov.au/pub/a6a/aba/a6aabaec8873a2a69ff22188be15af29dfda8c0d/document.pdf,Newcastle Port Corporation Annual Report 2006-2007,,,,,527,Land and Resource Management,22/10/2007,,Attribution Creative Commons (cc by),Annual Report,29/08/2008,,Australians,New South Wales,English,,,,,,,,,,,,,,,©State of New South Wales,1M,1720169,application/pdf,60,http://publications.nsw.gov.au/pub/a6a/aba/a6aabaec8873a2a69ff22188be15af29dfda8c0d/publication.swf,browseable,published,,http://publications.nsw.gov.au/pub/a6a/aba/a6aabaec8873a2a69ff22188be15af29dfda8c0d/publication.txt,http://publications.nsw.gov.au/pub/a6a/aba/a6aabaec8873a2a69ff22188be15af29dfda8c0d/thumbnail.gif,a6aabaec8873a2a69ff22188be15af29dfda8c0d,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1522,http://publications.nsw.gov.au/pub/4b4/96d/4b496d944e3b01bae1fc5701d474b42b31f85226/document.pdf,Newcastle Port Corporation Annual Report 2008-2009,,,,,527,,9/10/2009,,Attribution Creative Commons (cc by),Annual Report,30/06/2009,,Australians,New South Wales,English,,,,,,,,,,,,,,,©State of New South Wales,2M,2458768,application/pdf,68,http://publications.nsw.gov.au/pub/4b4/96d/4b496d944e3b01bae1fc5701d474b42b31f85226/publication.swf,browseable,published,http://publications.nsw.gov.au/pub/4b4/96d/4b496d944e3b01bae1fc5701d474b42b31f85226/preview.jpg,http://publications.nsw.gov.au/pub/4b4/96d/4b496d944e3b01bae1fc5701d474b42b31f85226/publication.txt,http://publications.nsw.gov.au/pub/4b4/96d/4b496d944e3b01bae1fc5701d474b42b31f85226/thumbnail.gif,4b496d944e3b01bae1fc5701d474b42b31f85226,,,,,,,,,,,,,,,,,,,,,,,,,,,,
